NAME                                                                                 VERSION                                   TYPE      
github.com/ulikunitz/xz                                                              v0.5.12                                   go-module  
github.com/vbatts/tar-split                                                          v0.11.6                                   go-module  
github.com/vmihailenco/msgpack/v5                                                    v5.4.1                                    go-module  
github.com/vmihailenco/tagparser/v2                                                  v2.0.0                                    go-module  
github.com/x448/float16                                                              v0.8.4                                    go-module  
github.com/xanzy/ssh-agent                                                           v0.3.3                                    go-module  
github.com/xeipuuv/gojsonpointer                                                     v0.0.0-20190905194746-02993c407bfb        go-module  
github.com/xeipuuv/gojsonreference                                                   v0.0.0-20180127040603-bd5ef7bd5415        go-module  
github.com/xeipuuv/gojsonschema                                                      v1.2.0                                    go-module  
github.com/xi2/xz                                                                    v0.0.0-20171230120015-48954b6210f8        go-module  
github.com/xlab/treeprint                                                            v1.2.0                                    go-module  
github.com/yashtewari/glob-intersection                                              v0.2.0                                    go-module  
github.com/zclconf/go-cty                                                            v1.16.2                                   go-module  
github.com/zclconf/go-cty-yaml                                                       v1.1.0                                    go-module  
go.etcd.io/bbolt                                                                     v1.4.0                                    go-module  
go.mongodb.org/mongo-driver                                                          v1.14.0                                   go-module  
go.opencensus.io                                                                     v0.24.0                                   go-module  
go.opentelemetry.io/auto/sdk                                                         v1.1.0                                    go-module  
go.opentelemetry.io/contrib/detectors/gcp                                            v1.32.0                                   go-module  
go.opentelemetry.io/contrib/instrumentation/google.golang.org/grpc/otelgrpc          v0.56.0                                   go-module  
go.opentelemetry.io/contrib/instrumentation/net/http/otelhttp                        v0.59.0                                   go-module  
go.opentelemetry.io/otel                                                             v1.34.0                                   go-module  
go.opentelemetry.io/otel/metric                                                      v1.34.0                                   go-module  
go.opentelemetry.io/otel/sdk                                                         v1.34.0                                   go-module  
go.opentelemetry.io/otel/sdk/metric                                                  v1.32.0                                   go-module  
go.opentelemetry.io/otel/trace                                                       v1.34.0                                   go-module  
go.uber.org/multierr                                                                 v1.11.0                                   go-module  
go.uber.org/zap                                                                      v1.27.0                                   go-module  
golang.org/x/crypto                                                                  v0.36.0                                   go-module  
golang.org/x/exp                                                                     v0.0.0-20250106191152-7588d65b2ba8        go-module  
golang.org/x/mod                                                                     v0.24.0                                   go-module  
golang.org/x/net                                                                     v0.37.0                                   go-module  
golang.org/x/oauth2                                                                  v0.26.0                                   go-module  
golang.org/x/sync                                                                    v0.12.0                                   go-module  
golang.org/x/sys                                                                     v0.31.0                                   go-module  
golang.org/x/term                                                                    v0.30.0                                   go-module  
golang.org/x/text                                                                    v0.23.0                                   go-module  
